Place;FirstName;LastName;Car Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Track;Place,FirstName,LastName,Class,Car Number,Car,Car Model,Laps,Best S1,Best S2,Best S3,Best lap,Best lap (ms),Ideal Best lap,Total Race Time,Lap Date,SteamId
0.0;John;Guise;Pro;10.0;Mercedes AMG GT3 2020;25.0;42.0;21.783;28.368;32.814;01:23.319;83319.0;01:22.965;58:19.398;2025-06-08;M2533274803882798;Laguna Seca;
0.0;Jesper;Beiboer;Am/reserve;15.0;Ferrari 296 GT3;32.0;42.0;21.813;28.422;32.946;01:23.427;83427.0;01:23.181;58:23.934;2025-06-08;M2535465743812802;Laguna Seca;
0.0;Brian;Slater;Pro;20.0;Ford Mustang GT3;36.0;42.0;21.897;28.395;33.033;01:23.577;83577.0;01:23.325;58:30.234;2025-06-08;M2533274804593068;Laguna Seca;
0.0;Adam;Lovell;Am/reserve;260.0;Ford Mustang GT3;36.0;42.0;21.957;28.707;32.961;01:23.733;83733.0;01:23.625;58:36.786;2025-06-08;M2535468859834853;Laguna Seca;
0.0;Mark;Stapely;Silver;142.0;McLaren 720S GT3 Evo;35.0;42.0;21.87;28.557;32.682;01:23.425;83425.0;01:23.109;58:23.850;2025-06-08;M2533274804293173;Laguna Seca;
0.0;Richard;Huxley;Am/reserve;89.0;Ferrari 296 GT3;32.0;42.0;22.059;28.56;33.0;01:23.868;83868.0;01:23.619;58:42.456;2025-06-08;M2535454029768367;Laguna Seca;
0.0;Rey;Sabio Jr;Silver;144.0;Ferrari 296 GT3;32.0;41.0;21.975;28.773;33.192;01:24.294;84294.0;01:23.940;57:36.054;2025-06-08;M2535464171877570;Laguna Seca;
0.0;James;Roche;Am/reserve;87.0;Aston Martin Vantage V8 2019;20.0;40.0;22.506;29.172;33.807;01:25.644;85644.0;01:25.485;57:05.760;2025-06-08;M2535428335198107;Laguna Seca;
0.0;Rob;Sexton;Pro;13.0;BMW M4 GT3 2022;26.0;16.0;22.275;28.905;33.41;01:24.862;84862.0;01:24.590;22:37.792;2025-06-08;M2533274809212122;Laguna Seca;
0.0;Dylan;Illidge;Am/reserve;550.0;BMW M4 GT3 2022;26.0;14.0;21.982;28.452;32.792;01:23.260;83260.0;01:23.226;19:25.640;2025-06-08;M2535428245246604;Laguna Seca;
0.0;Jacob;Lane;Unknown;53.0;Porsche 992 GT3 R;34.0;7.0;21.762;28.236;32.394;01:22.659;82659.0;01:22.392;09:38.613;2025-06-08;M2535440311354763;Laguna Seca;
